time,VNM,VIC,VHM,FPT,HPG,MWG,VCB,MBB
2022-12-21,65.68,27.45,48.5,48.0,14.06,44.95,44.25,9.59
2022-12-22,64.59,27.5,49.0,48.0,14.06,45.05,44.59,9.75
2022-12-23,63.92,27.55,49.8,48.5,13.65,44.37,44.48,9.61
2022-12-26,63.76,26.45,47.0,47.51,12.72,41.27,44.36,9.1
2022-12-27,64.26,26.7,47.5,47.57,13.58,42.43,44.48,9.34
2022-12-28,64.59,26.75,47.7,47.69,13.54,41.66,44.98,9.45
2022-12-29,64.59,26.8,47.8,47.38,13.39,41.56,45.38,9.43
2022-12-30,63.84,26.9,48.0,47.82,13.39,41.56,44.98,9.26
2023-01-03,65.85,28.4,49.4,49.74,14.32,42.58,46.44,9.75
2023-01-04,66.52,28.0,49.0,49.74,14.43,42.14,46.56,9.72
2023-01-05,68.12,28.1,49.7,50.12,14.73,42.24,47.23,9.86
2023-01-06,66.94,28.05,49.9,49.93,14.43,41.8,47.23,9.89
2023-01-09,67.7,27.5,50.2,49.93,14.58,40.69,48.86,9.89
2023-01-10,67.95,27.25,49.75,49.99,14.73,40.88,49.09,9.86
2023-01-11,66.61,27.55,50.8,50.3,15.03,41.22,47.85,9.89
2023-01-12,67.11,27.5,51.5,50.18,14.92,40.78,47.68,9.89
2023-01-13,67.61,27.5,52.0,49.74,14.84,40.73,48.24,9.89
2023-01-16,66.61,27.4,51.3,50.24,15.06,40.59,49.09,10.02
2023-01-17,67.87,27.6,52.0,50.99,16.11,41.7,50.27,10.51
2023-01-18,68.2,28.35,52.5,51.86,16.14,43.54,50.61,10.59
2023-01-19,68.2,28.7,52.2,52.17,15.73,44.17,52.29,10.62
2023-01-27,67.11,29.6,53.3,52.23,15.99,44.46,52.29,10.67
2023-01-30,66.61,28.85,51.5,52.04,16.18,44.75,50.55,10.43
2023-01-31,64.68,28.55,50.9,51.92,16.44,45.05,51.67,10.59
2023-02-01,64.76,27.6,48.0,50.99,15.7,45.63,50.1,10.24
2023-02-02,64.34,27.9,47.9,50.93,15.85,48.34,50.94,10.26
2023-02-03,63.76,28.0,48.1,49.81,15.7,46.3,52.29,10.08
2023-02-06,64.93,28.0,47.95,50.05,15.73,45.68,53.98,10.13
2023-02-07,63.84,27.5,46.8,50.18,14.69,44.27,51.73,9.94
2023-02-08,63.59,27.2,46.6,50.49,15.51,43.11,52.97,9.97
2023-02-09,62.92,27.1,45.3,50.18,15.32,42.62,52.29,9.99
2023-02-10,63.67,27.0,45.4,50.18,15.25,40.78,53.14,9.91
2023-02-13,63.17,26.7,44.4,50.18,15.03,41.17,52.57,9.75
2023-02-14,62.66,26.45,42.75,50.24,15.32,41.17,52.01,9.67
2023-02-15,63.76,26.45,42.5,50.74,15.47,41.41,52.29,9.75
2023-02-16,64.17,26.7,42.5,50.74,15.85,41.95,51.95,9.89
2023-02-17,63.76,26.75,43.3,50.74,15.62,41.9,52.29,9.8
2023-02-20,65.01,27.05,45.2,51.49,16.29,42.91,52.74,10.24
2023-02-21,64.76,27.15,45.2,51.49,16.07,43.11,52.97,10.08
2023-02-22,63.34,26.5,42.6,50.86,15.77,41.66,52.29,9.89
2023-02-23,63.5,26.5,42.0,50.61,15.99,41.66,52.46,9.83
2023-02-24,62.66,26.45,41.0,50.24,15.47,40.78,52.57,9.59
2023-02-27,63.08,26.25,40.9,49.93,14.95,39.23,52.18,9.34
2023-02-28,63.34,26.3,41.5,50.05,14.88,38.75,52.57,9.34
2023-03-01,64.51,26.35,41.2,50.05,15.55,39.52,52.29,9.56
2023-03-02,64.17,26.4,41.1,49.74,15.32,39.04,52.4,9.43
2023-03-03,63.76,26.35,40.95,48.81,15.14,38.17,51.11,9.29
2023-03-06,62.92,26.3,42.1,48.62,15.18,38.17,51.17,9.37
2023-03-07,63.59,26.35,42.3,49.0,15.7,38.46,51.67,9.43
2023-03-08,64.17,26.5,42.35,49.43,15.77,38.17,51.84,9.53
2023-03-09,64.17,26.5,42.4,50.12,15.77,38.75,52.29,9.64
2023-03-10,64.51,26.55,42.85,49.43,15.85,38.51,51.79,9.61
2023-03-13,64.51,26.65,44.75,49.06,15.7,38.17,51.45,9.48
2023-03-14,64.26,26.5,44.75,48.94,15.1,37.39,51.17,9.32
2023-03-15,64.68,27.0,46.0,50.05,15.85,38.75,51.39,9.64
2023-03-16,64.09,26.65,44.5,49.25,15.51,38.17,51.17,9.45
2023-03-17,62.5,26.6,43.35,49.12,15.18,38.17,50.04,9.45
2023-03-20,62.33,26.4,42.55,48.25,14.88,36.91,47.85,9.37
